kW;día;hora;temperatura;año;mes;estacion;tipo_dia
70,368;1;5;25,7;2020;2;verano;no habil
67,056;1;6;25,225;2020;2;verano;no habil
54,576;1;7;25,3;2020;2;verano;no habil
49,776;1;8;26,325;2020;2;verano;no habil
48,672;1;9;27,975;2020;2;verano;no habil
49,008;1;10;29,1;2020;2;verano;no habil
55,584;1;11;30,15;2020;2;verano;no habil
75,168;1;12;31,625;2020;2;verano;no habil
108,72;1;13;32,9;2020;2;verano;no habil
128,832;1;14;33,825;2020;2;verano;no habil
138,72;1;15;34,9;2020;2;verano;no habil
135,024;1;16;35,925;2020;2;verano;no habil
135,216;1;17;36,575;2020;2;verano;no habil
125,952;1;18;36,825;2020;2;verano;no habil
122,352;1;19;36,375;2020;2;verano;no habil
95,088;1;20;35,675;2020;2;verano;no habil
86,208;1;21;34,725;2020;2;verano;no habil
89,664;1;22;33,15;2020;2;verano;no habil
;1;23;31,75;2020;2;verano;no habil
85,92;2;0;31,15;2020;2;verano;no habil
87,792;2;1;31,25;2020;2;verano;no habil
83,328;2;2;28,95;2020;2;verano;no habil
83,088;2;3;28,025;2020;2;verano;no habil
;2;4;27,175;2020;2;verano;no habil
77,616;2;5;27,05;2020;2;verano;no habil
75,84;2;6;26,375;2020;2;verano;no habil
59,472;2;7;25,85;2020;2;verano;no habil
57,264;2;8;25,2;2020;2;verano;no habil
58,416;2;9;26,1;2020;2;verano;no habil
57,408;2;10;26,475;2020;2;verano;no habil
63,696;2;11;27,525;2020;2;verano;no habil
71,856;2;12;28,825;2020;2;verano;no habil
88,176;2;13;29,825;2020;2;verano;no habil
103,056;2;14;30,875;2020;2;verano;no habil
113,424;2;15;31,8;2020;2;verano;no habil
119,28;2;16;32,85;2020;2;verano;no habil
122,208;2;17;33,425;2020;2;verano;no habil
124,704;2;18;33,975;2020;2;verano;no habil
111,648;2;19;33,675;2020;2;verano;no habil
;2;20;33,225;2020;2;verano;no habil
92,784;2;21;32,875;2020;2;verano;no habil
95,28;2;22;32,05;2020;2;verano;no habil
92,304;2;23;31,375;2020;2;verano;no habil
94,08;3;0;31,725;2020;2;verano;habil
95,472;3;1;31,275;2020;2;verano;habil
91,824;3;2;30,725;2020;2;verano;habil
87,072;3;3;29,875;2020;2;verano;habil
83,712;3;4;29,65;2020;2;verano;habil
82,512;3;5;28,9;2020;2;verano;habil
74,352;3;6;28;2020;2;verano;habil
63,264;3;7;27,45;2020;2;verano;habil
51,456;3;8;27,175;2020;2;verano;habil
50,544;3;9;27,275;2020;2;verano;habil
60,192;3;10;28,5;2020;2;verano;habil
62,016;3;11;30,225;2020;2;verano;habil
90,768;3;12;31,95;2020;2;verano;habil
121,248;3;13;33,55;2020;2;verano;habil
140,16;3;14;35,45;2020;2;verano;habil
150;3;15;36,95;2020;2;verano;habil
149,712;3;16;37,95;2020;2;verano;habil
140,304;3;17;38,15;2020;2;verano;habil
139,488;3;18;37,9;2020;2;verano;habil
124,416;3;19;37,65;2020;2;verano;habil
103,008;3;20;37,05;2020;2;verano;habil
110,016;3;21;35,925;2020;2;verano;habil
113,28;3;22;34,925;2020;2;verano;habil
120,624;3;23;34,225;2020;2;verano;habil
129,648;4;0;33,5;2020;2;verano;habil
126,288;4;1;32,8;2020;2;verano;habil
120,624;4;2;32,075;2020;2;verano;habil
117,936;4;3;31,2;2020;2;verano;habil
109,488;4;4;30,7;2020;2;verano;habil
103,296;4;5;29,85;2020;2;verano;habil
88,704;4;6;26,65;2020;2;verano;habil
68,928;4;7;25,15;2020;2;verano;habil
59,856;4;8;24,725;2020;2;verano;habil
50,592;4;9;25,225;2020;2;verano;habil
52,176;4;10;26,125;2020;2;verano;habil
48,288;4;11;27;2020;2;verano;habil
62,928;4;12;27,925;2020;2;verano;habil
102,144;4;13;29,225;2020;2;verano;habil
133,536;4;14;30,275;2020;2;verano;habil
;4;15;31,2;2020;2;verano;habil
143,76;4;16;31,775;2020;2;verano;habil
130,992;4;17;32,325;2020;2;verano;habil
118,8;4;18;32,525;2020;2;verano;habil
97,152;4;19;32,175;2020;2;verano;habil
72,624;4;20;31,7;2020;2;verano;habil
70,368;4;21;31,2;2020;2;verano;habil
80,304;4;22;30,575;2020;2;verano;habil
84,624;4;23;29,8;2020;2;verano;habil
87,072;5;0;27,775;2020;2;verano;habil
73,632;5;1;24,4;2020;2;verano;habil
;5;2;22,925;2020;2;verano;habil
70,464;5;3;21,9;2020;2;verano;habil
;5;4;21,825;2020;2;verano;habil
64,896;5;5;21,75;2020;2;verano;habil
59,712;5;6;21,15;2020;2;verano;habil
51,648;5;7;20,95;2020;2;verano;habil
34,224;5;8;21,275;2020;2;verano;habil
31,536;5;9;21,875;2020;2;verano;habil
29,952;5;10;22,2;2020;2;verano;habil
30,816;5;11;22,775;2020;2;verano;habil
26,736;5;12;23,2;2020;2;verano;habil
31,776;5;13;24;2020;2;verano;habil
43,392;5;14;24,25;2020;2;verano;habil
50,304;5;15;25,225;2020;2;verano;habil
61,92;5;16;25,95;2020;2;verano;habil
64,032;5;17;26,375;2020;2;verano;habil
60,816;5;18;26,35;2020;2;verano;habil
45,072;5;19;26,15;2020;2;verano;habil
42,048;5;20;25,575;2020;2;verano;habil
47,904;5;21;25,1;2020;2;verano;habil
50,4;5;22;24,475;2020;2;verano;habil
54,24;5;23;24;2020;2;verano;habil
53,232;6;0;23,625;2020;2;verano;habil
55,488;6;1;23,25;2020;2;verano;habil
52,608;6;2;22,85;2020;2;verano;habil
51,312;6;3;21,95;2020;2;verano;habil
49,392;6;4;21,525;2020;2;verano;habil
50,064;6;5;21,275;2020;2;verano;habil
46,032;6;6;21;2020;2;verano;habil
35,52;6;7;20,875;2020;2;verano;habil
31,776;6;8;21,525;2020;2;verano;habil
31,392;6;9;21,975;2020;2;verano;habil
32,4;6;10;22,95;2020;2;verano;habil
34,656;6;11;24,375;2020;2;verano;habil
40,032;6;12;25,5;2020;2;verano;habil
67,2;6;13;26,45;2020;2;verano;habil
78,24;6;14;27,4;2020;2;verano;habil
79,968;6;15;28,075;2020;2;verano;habil
81,792;6;16;28,85;2020;2;verano;habil
87,6;6;17;29,325;2020;2;verano;habil
77,952;6;18;29,775;2020;2;verano;habil
63,696;6;19;29,55;2020;2;verano;habil
53,28;6;20;29,05;2020;2;verano;habil
53,712;6;21;27,925;2020;2;verano;habil
59,424;6;22;27,3;2020;2;verano;habil
64,704;6;23;27,025;2020;2;verano;habil
64,848;7;0;26,75;2020;2;verano;habil
75,648;7;1;26,425;2020;2;verano;habil
70,608;7;2;25,925;2020;2;verano;habil
66,72;7;3;24,925;2020;2;verano;habil
64,848;7;4;23,825;2020;2;verano;habil
65,04;7;5;22,75;2020;2;verano;habil
;7;6;22;2020;2;verano;habil
54,72;7;7;21,475;2020;2;verano;habil
40,608;7;8;21,475;2020;2;verano;habil
34,32;7;9;21,825;2020;2;verano;habil
31,104;7;10;22,05;2020;2;verano;habil
29,04;7;11;23,225;2020;2;verano;habil
30,048;7;12;23,5;2020;2;verano;habil
33,696;7;13;24,525;2020;2;verano;habil
44,784;7;14;25,375;2020;2;verano;habil
45,36;7;15;26,2;2020;2;verano;habil
44,736;7;16;27,175;2020;2;verano;habil
48,72;7;17;27,05;2020;2;verano;habil
48,816;7;18;26,775;2020;2;verano;habil
49,68;7;19;26,4;2020;2;verano;habil
51,648;7;20;25,9;2020;2;verano;habil
56,592;7;21;25,65;2020;2;verano;habil
56,928;7;22;25,375;2020;2;verano;habil
53,952;7;23;25,3;2020;2;verano;habil
50,112;8;0;25,175;2020;2;verano;no habil
51,36;8;1;24,675;2020;2;verano;no habil
51,744;8;2;24,025;2020;2;verano;no habil
46,704;8;3;23,9;2020;2;verano;no habil
47,568;8;4;23,6;2020;2;verano;no habil
51,552;8;5;23;2020;2;verano;no habil
47,136;8;6;22,3;2020;2;verano;no habil
45,216;8;7;21,975;2020;2;verano;no habil
33,984;8;8;21,075;2020;2;verano;no habil
30,96;8;9;20,85;2020;2;verano;no habil
33,408;8;10;21,65;2020;2;verano;no habil
29,952;8;11;22,725;2020;2;verano;no habil
31,248;8;12;23,8;2020;2;verano;no habil
34,896;8;13;24,225;2020;2;verano;no habil
40,752;8;14;24,675;2020;2;verano;no habil
56,928;8;15;25,575;2020;2;verano;no habil
;8;16;26,475;2020;2;verano;no habil
63,072;8;17;26,675;2020;2;verano;no habil
56,544;8;18;27;2020;2;verano;no habil
54,768;8;19;26,8;2020;2;verano;no habil
55,104;8;20;26,275;2020;2;verano;no habil
60,48;8;21;26,275;2020;2;verano;no habil
62,88;8;22;25,975;2020;2;verano;no habil
58,8;8;23;26,025;2020;2;verano;no habil
58,608;9;0;25,475;2020;2;verano;no habil
58,272;9;1;23,925;2020;2;verano;no habil
55,008;9;2;23,075;2020;2;verano;no habil
53,52;9;3;22,775;2020;2;verano;no habil
51,216;9;4;21,55;2020;2;verano;no habil
44,112;9;5;20,7;2020;2;verano;no habil
40,416;9;6;20,25;2020;2;verano;no habil
38,448;9;7;20,25;2020;2;verano;no habil
29,184;9;8;20,575;2020;2;verano;no habil
29,472;9;9;20,6;2020;2;verano;no habil
29,28;9;10;20,825;2020;2;verano;no habil
27,168;9;11;21,2;2020;2;verano;no habil
29,424;9;12;21,35;2020;2;verano;no habil
;9;13;22,45;2020;2;verano;no habil
29,712;9;14;23,125;2020;2;verano;no habil
25,92;9;15;24,1;2020;2;verano;no habil
30,336;9;16;24,45;2020;2;verano;no habil
29,088;9;17;24,2;2020;2;verano;no habil
29,76;9;18;23,1;2020;2;verano;no habil
;9;19;22,275;2020;2;verano;no habil
38,784;9;20;22;2020;2;verano;no habil
41,664;9;21;21,95;2020;2;verano;no habil
41,232;9;22;22,075;2020;2;verano;no habil
37,968;9;23;21,725;2020;2;verano;no habil
37,344;10;0;21,225;2020;2;verano;habil
36,672;10;1;20,325;2020;2;verano;habil
34,512;10;2;20,3;2020;2;verano;habil
32,544;10;3;20,275;2020;2;verano;habil
32,496;10;4;20,175;2020;2;verano;habil
30,384;10;5;19,825;2020;2;verano;habil
32,448;10;6;19,85;2020;2;verano;habil
32,448;10;7;19,75;2020;2;verano;habil
21,888;10;8;19,575;2020;2;verano;habil
22,08;10;9;19,55;2020;2;verano;habil
25,44;10;10;20,575;2020;2;verano;habil
24,72;10;11;21,55;2020;2;verano;habil
24,24;10;12;21,9;2020;2;verano;habil
29,856;10;13;22,1;2020;2;verano;habil
28,032;10;14;23,2;2020;2;verano;habil
28,272;10;15;23,2;2020;2;verano;habil
28,272;10;16;23,775;2020;2;verano;habil
28,176;10;17;24,4;2020;2;verano;habil
28,944;10;18;23,975;2020;2;verano;habil
28,176;10;19;23,675;2020;2;verano;habil
33,312;10;20;23,575;2020;2;verano;habil
36,384;10;21;23,65;2020;2;verano;habil
39,168;10;22;23,525;2020;2;verano;habil
40,704;10;23;23,45;2020;2;verano;habil
41,04;11;0;23,075;2020;2;verano;habil
40,656;11;1;22,375;2020;2;verano;habil
36,816;11;2;21,775;2020;2;verano;habil
32,88;11;3;21,375;2020;2;verano;habil
31,536;11;4;21,025;2020;2;verano;habil
30,672;11;5;20,775;2020;2;verano;habil
33,168;11;6;20,7;2020;2;verano;habil
29,376;11;7;20,7;2020;2;verano;habil
25,536;11;8;21,15;2020;2;verano;habil
26,832;11;9;21,85;2020;2;verano;habil
26,448;11;10;22,35;2020;2;verano;habil
26,592;11;11;23,625;2020;2;verano;habil
32,496;11;12;25,05;2020;2;verano;habil
44,736;11;13;26,175;2020;2;verano;habil
55,44;11;14;27,05;2020;2;verano;habil
57,744;11;15;28,15;2020;2;verano;habil
62,208;11;16;28,3;2020;2;verano;habil
58,08;11;17;28,8;2020;2;verano;habil
58,56;11;18;28,8;2020;2;verano;habil
52,944;11;19;28,65;2020;2;verano;habil
47,904;11;20;27,95;2020;2;verano;habil
57,36;11;21;27,3;2020;2;verano;habil
60,048;11;22;25,85;2020;2;verano;habil
67,296;11;23;25,1;2020;2;verano;habil
66,672;12;0;24,725;2020;2;verano;habil
62,208;12;1;24,1;2020;2;verano;habil
;12;2;23,325;2020;2;verano;habil
48,816;12;3;22,725;2020;2;verano;habil
47,616;12;4;22,5;2020;2;verano;habil
45,744;12;5;22,15;2020;2;verano;habil
43,008;12;6;21,675;2020;2;verano;habil
35,616;12;7;21,4;2020;2;verano;habil
31,056;12;8;22;2020;2;verano;habil
32,928;12;9;22,975;2020;2;verano;habil
29,616;12;10;23,9;2020;2;verano;habil
;12;11;25,45;2020;2;verano;habil
;12;12;27;2020;2;verano;habil
62,736;12;13;27,925;2020;2;verano;habil
81,024;12;14;28,925;2020;2;verano;habil
79,824;12;15;29,75;2020;2;verano;habil
86,352;12;16;30,625;2020;2;verano;habil
91,92;12;17;31,05;2020;2;verano;habil
87,504;12;18;31,5;2020;2;verano;habil
73,824;12;19;31,275;2020;2;verano;habil
57,936;12;20;30,35;2020;2;verano;habil
62,544;12;21;29,6;2020;2;verano;habil
79,392;12;22;28,65;2020;2;verano;habil
79,584;12;23;27,65;2020;2;verano;habil
83,904;13;0;26,875;2020;2;verano;habil
83,616;13;1;26,425;2020;2;verano;habil
81,648;13;2;25,6;2020;2;verano;habil
78,336;13;3;25,225;2020;2;verano;habil
74,544;13;4;24,85;2020;2;verano;habil
73,104;13;5;23,875;2020;2;verano;habil
68,88;13;6;23,7;2020;2;verano;habil
51,648;13;7;21,575;2020;2;verano;habil
;13;8;21,375;2020;2;verano;habil
28,32;13;9;21,175;2020;2;verano;habil
30,288;13;10;20,775;2020;2;verano;habil
30,24;13;11;20,475;2020;2;verano;habil
25,248;13;12;20,9;2020;2;verano;habil
26,352;13;13;21,9;2020;2;verano;habil
29,088;13;14;22,275;2020;2;verano;habil
34,368;13;15;22,675;2020;2;verano;habil
34,32;13;16;23,5;2020;2;verano;habil
32,112;13;17;23,575;2020;2;verano;habil
27,696;13;18;23,475;2020;2;verano;habil
29,76;13;19;22,775;2020;2;verano;habil
33,456;13;20;21,725;2020;2;verano;habil
39,792;13;21;21,1;2020;2;verano;habil
36,912;13;22;20,625;2020;2;verano;habil
39,216;13;23;20,225;2020;2;verano;habil
42,48;14;0;20,025;2020;2;verano;habil
40,656;14;1;19,75;2020;2;verano;habil
36,144;14;2;19,475;2020;2;verano;habil
34,128;14;3;19,375;2020;2;verano;habil
33,36;14;4;19,275;2020;2;verano;habil
33,648;14;5;19,2;2020;2;verano;habil
34,272;14;6;19,275;2020;2;verano;habil
33,6;14;7;19,5;2020;2;verano;habil
24,528;14;8;19,95;2020;2;verano;habil
;14;9;21,375;2020;2;verano;habil
23,616;14;10;21,725;2020;2;verano;habil
24,384;14;11;22,575;2020;2;verano;habil
28,608;14;12;23,65;2020;2;verano;habil
39,696;14;13;24,95;2020;2;verano;habil
;14;14;26,125;2020;2;verano;habil
55,536;14;15;27,4;2020;2;verano;habil
63,84;14;16;28,775;2020;2;verano;habil
67,344;14;17;29,625;2020;2;verano;habil
71,856;14;18;30,175;2020;2;verano;habil
63,792;14;19;30,025;2020;2;verano;habil
52,656;14;20;29,325;2020;2;verano;habil
52,992;14;21;28,725;2020;2;verano;habil
53,808;14;22;27,7;2020;2;verano;habil
52,944;14;23;27,125;2020;2;verano;habil
53,568;15;0;26,6;2020;2;verano;no habil
51,6;15;1;26,075;2020;2;verano;no habil
;15;2;25,35;2020;2;verano;no habil
48,432;15;3;24,2;2020;2;verano;no habil
;15;4;23,9;2020;2;verano;no habil
45,792;15;5;23,375;2020;2;verano;no habil
43,152;15;6;23,025;2020;2;verano;no habil
39,504;15;7;22,5;2020;2;verano;no habil
30,336;15;8;23,325;2020;2;verano;no habil
;15;9;25,1;2020;2;verano;no habil
31,92;15;10;25,725;2020;2;verano;no habil
35,904;15;11;27,225;2020;2;verano;no habil
48,576;15;12;28,525;2020;2;verano;no habil
76,8;15;13;29,775;2020;2;verano;no habil
105,36;15;14;30,925;2020;2;verano;no habil
;15;15;32,075;2020;2;verano;no habil
107,52;15;16;32,7;2020;2;verano;no habil
112,272;15;17;33,225;2020;2;verano;no habil
109,008;15;18;33,575;2020;2;verano;no habil
100,608;15;19;33,55;2020;2;verano;no habil
84,624;15;20;32,8;2020;2;verano;no habil
81,936;15;21;31,9;2020;2;verano;no habil
82,224;15;22;30,8;2020;2;verano;no habil
75,36;15;23;29,45;2020;2;verano;no habil
73,536;16;0;29,175;2020;2;verano;no habil
74,736;16;1;28,45;2020;2;verano;no habil
76,416;16;2;27,6;2020;2;verano;no habil
75,936;16;3;27,325;2020;2;verano;no habil
76,128;16;4;26,55;2020;2;verano;no habil
75,168;16;5;26,5;2020;2;verano;no habil
73,44;16;6;26,25;2020;2;verano;no habil
68,928;16;7;26,2;2020;2;verano;no habil
58,944;16;8;26,625;2020;2;verano;no habil
54,432;16;9;27,975;2020;2;verano;no habil
63,312;16;10;28,25;2020;2;verano;no habil
70,128;16;11;29,275;2020;2;verano;no habil
82,176;16;12;29,9;2020;2;verano;no habil
102,384;16;13;31,025;2020;2;verano;no habil
115,536;16;14;31,75;2020;2;verano;no habil
125,712;16;15;32,5;2020;2;verano;no habil
129,696;16;16;33,2;2020;2;verano;no habil
128,544;16;17;33,65;2020;2;verano;no habil
129,792;16;18;33,825;2020;2;verano;no habil
107,328;16;19;33,4;2020;2;verano;no habil
91,632;16;20;32,75;2020;2;verano;no habil
88,176;16;21;31,95;2020;2;verano;no habil
97,776;16;22;31,375;2020;2;verano;no habil
93,552;16;23;30,8;2020;2;verano;no habil
110,976;17;0;30,125;2020;2;verano;habil
107,376;17;1;29,45;2020;2;verano;habil
101,952;17;2;28,4;2020;2;verano;habil
96;17;3;27,35;2020;2;verano;habil
88,944;17;4;26,35;2020;2;verano;habil
84,864;17;5;25,9;2020;2;verano;habil
79,776;17;6;25,625;2020;2;verano;habil
67,632;17;7;25,475;2020;2;verano;habil
54,72;17;8;26,3;2020;2;verano;habil
50,88;17;9;28,275;2020;2;verano;habil
58,272;17;10;29,325;2020;2;verano;habil
;17;11;30,575;2020;2;verano;habil
101,424;17;12;32,025;2020;2;verano;habil
132,144;17;13;33,175;2020;2;verano;habil
142,752;17;14;33,225;2020;2;verano;habil
139,296;17;15;31,975;2020;2;verano;habil
133,92;17;16;30;2020;2;verano;habil
121,68;17;17;29,05;2020;2;verano;habil
90,192;17;18;27,425;2020;2;verano;habil
68,496;17;19;26,8;2020;2;verano;habil
46,32;17;20;26,275;2020;2;verano;habil
47,376;17;21;24,775;2020;2;verano;habil
47,952;17;22;24,125;2020;2;verano;habil
49,872;17;23;23,575;2020;2;verano;habil
53,568;18;0;22,6;2020;2;verano;habil
51,36;18;1;21,525;2020;2;verano;habil
45,744;18;2;20,7;2020;2;verano;habil
42,864;18;3;19,575;2020;2;verano;habil
41,232;18;4;19,025;2020;2;verano;habil
39,024;18;5;18,875;2020;2;verano;habil
39,12;18;6;18,65;2020;2;verano;habil
38,256;18;7;18,4;2020;2;verano;habil
;18;8;18,525;2020;2;verano;habil
26,016;18;9;19,2;2020;2;verano;habil
26,88;18;10;20;2020;2;verano;habil
27,408;18;11;20,85;2020;2;verano;habil
30,24;18;12;21,575;2020;2;verano;habil
34,512;18;13;22,65;2020;2;verano;habil
40,032;18;14;23,75;2020;2;verano;habil
46,896;18;15;25;2020;2;verano;habil
53,088;18;16;26,275;2020;2;verano;habil
53,232;18;17;27,475;2020;2;verano;habil
51,696;18;18;27,65;2020;2;verano;habil
44,64;18;19;27,225;2020;2;verano;habil
43,44;18;20;26,65;2020;2;verano;habil
47,712;18;21;25,95;2020;2;verano;habil
50,4;18;22;25;2020;2;verano;habil
53,616;18;23;24,15;2020;2;verano;habil
53,28;19;0;23,5;2020;2;verano;habil
53,856;19;1;22,725;2020;2;verano;habil
49,488;19;2;21,975;2020;2;verano;habil
45,264;19;3;21,3;2020;2;verano;habil
42,816;19;4;21;2020;2;verano;habil
42,336;19;5;20,525;2020;2;verano;habil
40,704;19;6;19,275;2020;2;verano;habil
34,752;19;7;18,5;2020;2;verano;habil
27,264;19;8;18,75;2020;2;verano;habil
30,144;19;9;20,55;2020;2;verano;habil
28,8;19;10;22,45;2020;2;verano;habil
28,896;19;11;23,925;2020;2;verano;habil
34,512;19;12;26,05;2020;2;verano;habil
44,016;19;13;27,425;2020;2;verano;habil
55,2;19;14;28,625;2020;2;verano;habil
69,792;19;15;29,725;2020;2;verano;habil
74,784;19;16;30,75;2020;2;verano;habil
83,664;19;17;31,125;2020;2;verano;habil
81,024;19;18;31,275;2020;2;verano;habil
61,2;19;19;31,25;2020;2;verano;habil
50,976;19;20;30,7;2020;2;verano;habil
54,48;19;21;29,8;2020;2;verano;habil
63,072;19;22;28,7;2020;2;verano;habil
69,408;19;23;27,425;2020;2;verano;habil
65,232;20;0;26,9;2020;2;verano;habil
62,784;20;1;26,5;2020;2;verano;habil
61,44;20;2;25,425;2020;2;verano;habil
54,816;20;3;24,6;2020;2;verano;habil
50,112;20;4;23,8;2020;2;verano;habil
49,872;20;5;23,025;2020;2;verano;habil
46,8;20;6;22,125;2020;2;verano;habil
40,512;20;7;21,8;2020;2;verano;habil
31,824;20;8;21,9;2020;2;verano;habil
31,2;20;9;22,15;2020;2;verano;habil
32,4;20;10;22,25;2020;2;verano;habil
32,64;20;11;23,15;2020;2;verano;habil
32,64;20;12;24,225;2020;2;verano;habil
37,2;20;13;25,475;2020;2;verano;habil
43,2;20;14;26,4;2020;2;verano;habil
52,32;20;15;27,25;2020;2;verano;habil
53,376;20;16;27,7;2020;2;verano;habil
50,064;20;17;27,825;2020;2;verano;habil
43,776;20;18;27,65;2020;2;verano;habil
38,736;20;19;27,025;2020;2;verano;habil
;20;20;26,675;2020;2;verano;habil
45,696;20;21;26,15;2020;2;verano;habil
45,552;20;22;25,6;2020;2;verano;habil
45,696;20;23;24,6;2020;2;verano;habil
43,344;21;0;23,3;2020;2;verano;habil
;21;1;22,25;2020;2;verano;habil
40,992;21;2;21,3;2020;2;verano;habil
37,584;21;3;20,9;2020;2;verano;habil
36,768;21;4;19,975;2020;2;verano;habil
34,992;21;5;19;2020;2;verano;habil
34,896;21;6;18,275;2020;2;verano;habil
34,512;21;7;17,7;2020;2;verano;habil
25,632;21;8;17,4;2020;2;verano;habil
23,76;21;9;17,925;2020;2;verano;habil
26,64;21;10;18,625;2020;2;verano;habil
27,072;21;11;19,525;2020;2;verano;habil
26,16;21;12;20,675;2020;2;verano;habil
27,456;21;13;21,525;2020;2;verano;habil
28,512;21;14;21,95;2020;2;verano;habil
29,424;21;15;22,5;2020;2;verano;habil
30,096;21;16;22,825;2020;2;verano;habil
;21;17;23;2020;2;verano;habil
28,176;21;18;22,75;2020;2;verano;habil
27,696;21;19;22,275;2020;2;verano;habil
39,552;21;20;21,8;2020;2;verano;habil
38,4;21;21;21,175;2020;2;verano;habil
39,696;21;22;20,5;2020;2;verano;habil
40,08;21;23;20,125;2020;2;verano;habil
39,36;22;0;19,825;2020;2;verano;no habil
36,432;22;1;19,475;2020;2;verano;no habil
34,32;22;2;19,025;2020;2;verano;no habil
34,224;22;3;18,8;2020;2;verano;no habil
32,256;22;4;18,7;2020;2;verano;no habil
31,632;22;5;18,625;2020;2;verano;no habil
32,88;22;6;18,4;2020;2;verano;no habil
30,72;22;7;17,875;2020;2;verano;no habil
23,472;22;8;17,725;2020;2;verano;no habil
23,472;22;9;17,975;2020;2;verano;no habil
23,712;22;10;19,2;2020;2;verano;no habil
24,192;22;11;20,475;2020;2;verano;no habil
29,184;22;12;21,75;2020;2;verano;no habil
32,064;22;13;22,95;2020;2;verano;no habil
36,96;22;14;24,125;2020;2;verano;no habil
42,336;22;15;24,825;2020;2;verano;no habil
46,368;22;16;25,625;2020;2;verano;no habil
46,416;22;17;25,875;2020;2;verano;no habil
43,776;22;18;26,25;2020;2;verano;no habil
36,432;22;19;25,75;2020;2;verano;no habil
40,752;22;20;24,625;2020;2;verano;no habil
42,672;22;21;23,6;2020;2;verano;no habil
42,144;22;22;22,65;2020;2;verano;no habil
38,544;22;23;21,925;2020;2;verano;no habil
35,568;23;0;21,35;2020;2;verano;no habil
37,344;23;1;20,825;2020;2;verano;no habil
35,808;23;2;19,85;2020;2;verano;no habil
34,176;23;3;19,25;2020;2;verano;no habil
;23;4;19;2020;2;verano;no habil
31,2;23;5;18,775;2020;2;verano;no habil
30,288;23;6;18,225;2020;2;verano;no habil
28,944;23;7;18,025;2020;2;verano;no habil
;23;8;19,375;2020;2;verano;no habil
25,392;23;9;21,45;2020;2;verano;no habil
30,768;23;10;22,275;2020;2;verano;no habil
28,272;23;11;23,55;2020;2;verano;no habil
31,872;23;12;24,8;2020;2;verano;no habil
36,72;23;13;26,075;2020;2;verano;no habil
41,52;23;14;27;2020;2;verano;no habil
52,992;23;15;27,8;2020;2;verano;no habil
57,792;23;16;28,45;2020;2;verano;no habil
;23;17;29;2020;2;verano;no habil
59,952;23;18;29,25;2020;2;verano;no habil
55,152;23;19;29,075;2020;2;verano;no habil
49,488;23;20;28,375;2020;2;verano;no habil
53,04;23;21;27,2;2020;2;verano;no habil
55,488;23;22;26,325;2020;2;verano;no habil
;23;23;25,25;2020;2;verano;no habil
49,248;24;0;24,225;2020;2;verano;no habil
47,088;24;1;23,175;2020;2;verano;no habil
44,16;24;2;22,4;2020;2;verano;no habil
40,368;24;3;21,575;2020;2;verano;no habil
39,264;24;4;21,25;2020;2;verano;no habil
36,816;24;5;20,8;2020;2;verano;no habil
35,616;24;6;20,25;2020;2;verano;no habil
32,016;24;7;20;2020;2;verano;no habil
28,32;24;8;19,725;2020;2;verano;no habil
28,08;24;9;20,725;2020;2;verano;no habil
34,272;24;10;21,65;2020;2;verano;no habil
36,192;24;11;23,15;2020;2;verano;no habil
36,72;24;12;25,3;2020;2;verano;no habil
40,416;24;13;26,475;2020;2;verano;no habil
53,808;24;14;27,675;2020;2;verano;no habil
62,688;24;15;28,825;2020;2;verano;no habil
67,44;24;16;29,75;2020;2;verano;no habil
72,528;24;17;30,325;2020;2;verano;no habil
68,256;24;18;30,45;2020;2;verano;no habil
61,92;24;19;30,125;2020;2;verano;no habil
57,408;24;20;29,325;2020;2;verano;no habil
54,144;24;21;28,65;2020;2;verano;no habil
54,24;24;22;28;2020;2;verano;no habil
49,584;24;23;26,475;2020;2;verano;no habil
45,504;25;0;24,25;2020;2;verano;no habil
44,352;25;1;22,925;2020;2;verano;no habil
44,64;25;2;22,75;2020;2;verano;no habil
42,816;25;3;22,55;2020;2;verano;no habil
40,128;25;4;22,15;2020;2;verano;no habil
39,552;25;5;21,475;2020;2;verano;no habil
39,36;25;6;20,2;2020;2;verano;no habil
34,224;25;7;19,45;2020;2;verano;no habil
28,08;25;8;19,725;2020;2;verano;no habil
;25;9;20,925;2020;2;verano;no habil
33,696;25;10;22,475;2020;2;verano;no habil
34,512;25;11;23,975;2020;2;verano;no habil
34,416;25;12;25,6;2020;2;verano;no habil
42,816;25;13;26,25;2020;2;verano;no habil
54,144;25;14;27,175;2020;2;verano;no habil
;25;15;27,525;2020;2;verano;no habil
63,264;25;16;28,3;2020;2;verano;no habil
65,28;25;17;28,5;2020;2;verano;no habil
64,512;25;18;28,75;2020;2;verano;no habil
52,752;25;19;28,475;2020;2;verano;no habil
51,888;25;20;27,825;2020;2;verano;no habil
55,584;25;21;26,975;2020;2;verano;no habil
53,856;25;22;26;2020;2;verano;no habil
54,768;25;23;24,925;2020;2;verano;no habil
;26;0;24,4;2020;2;verano;habil
52,848;26;1;24,375;2020;2;verano;habil
46,176;26;2;23,8;2020;2;verano;habil
43,344;26;3;23,025;2020;2;verano;habil
43,152;26;4;22,4;2020;2;verano;habil
40,656;26;5;20;2020;2;verano;habil
41,136;26;6;17,775;2020;2;verano;habil
36,912;26;7;17,475;2020;2;verano;habil
