kW;día;hora;temperatura;año;mes;estacion;tipo_dia
39,456;8;11;24,05;2019;1;verano;habil
45,936;8;12;25,65;2019;1;verano;habil
63,648;8;13;27,3;2019;1;verano;habil
71,424;8;14;28,75;2019;1;verano;habil
;8;15;30;2019;1;verano;habil
;8;16;31,05;2019;1;verano;habil
88,608;8;17;31,85;2019;1;verano;habil
74,592;8;18;32,35;2019;1;verano;habil
73,104;8;19;32,6;2019;1;verano;habil
50,736;8;20;32,35;2019;1;verano;habil
52,944;8;21;31,05;2019;1;verano;habil
56,832;8;22;29,9;2019;1;verano;habil
;8;23;29,25;2019;1;verano;habil
63,408;9;0;28,7;2019;1;verano;habil
62,064;9;1;26,85;2019;1;verano;habil
63,936;9;2;25;2019;1;verano;habil
61,2;9;3;23,5;2019;1;verano;habil
57,984;9;4;22,25;2019;1;verano;habil
54,912;9;5;21,35;2019;1;verano;habil
53,184;9;6;20,35;2019;1;verano;habil
38,064;9;7;19,3;2019;1;verano;habil
34,176;9;8;20,1;2019;1;verano;habil
31,104;9;9;21,55;2019;1;verano;habil
29,04;9;10;23,1;2019;1;verano;habil
33,792;9;11;24,25;2019;1;verano;habil
40,128;9;12;24,55;2019;1;verano;habil
47,568;9;13;25;2019;1;verano;habil
59,376;9;14;25,45;2019;1;verano;habil
60,528;9;15;26,2;2019;1;verano;habil
65,184;9;16;26,85;2019;1;verano;habil
60,192;9;17;27,1;2019;1;verano;habil
53,712;9;18;26,8;2019;1;verano;habil
42,864;9;19;26,5;2019;1;verano;habil
37,248;9;20;26,2;2019;1;verano;habil
44,928;9;21;25,9;2019;1;verano;habil
47,088;9;22;25,2;2019;1;verano;habil
47,568;9;23;24,15;2019;1;verano;habil
43,776;10;0;22,75;2019;1;verano;habil
39,024;10;1;21,55;2019;1;verano;habil
41,088;10;2;20,85;2019;1;verano;habil
35,424;10;3;18,55;2019;1;verano;habil
33,744;10;4;16,75;2019;1;verano;habil
31,776;10;5;14,15;2019;1;verano;habil
31,056;10;6;12,1;2019;1;verano;habil
19,104;10;7;10,55;2019;1;verano;habil
17,76;10;8;10,2;2019;1;verano;habil
18,624;10;9;10,1;2019;1;verano;habil
