kW;temperatura;año;mes;hora;día;estacion;tipo_dia
53,184;20,35;2019;1;6;9;verano;habil
38,064;19,3;2019;1;7;9;verano;habil
34,176;20,1;2019;1;8;9;verano;habil
31,104;21,55;2019;1;9;9;verano;habil
29,04;23,1;2019;1;10;9;verano;habil
33,792;24,25;2019;1;11;9;verano;habil
40,128;24,55;2019;1;12;9;verano;habil
47,568;25;2019;1;13;9;verano;habil
59,376;25,45;2019;1;14;9;verano;habil
60,528;26,2;2019;1;15;9;verano;habil
65,184;26,85;2019;1;16;9;verano;habil
60,192;27,1;2019;1;17;9;verano;habil
53,712;26,8;2019;1;18;9;verano;habil
42,864;26,5;2019;1;19;9;verano;habil
37,248;26,2;2019;1;20;9;verano;habil
44,928;25,9;2019;1;21;9;verano;habil
47,088;25,2;2019;1;22;9;verano;habil
47,568;24,15;2019;1;23;9;verano;habil
43,776;22,75;2019;1;0;10;verano;habil
39,024;21,55;2019;1;1;10;verano;habil
41,088;20,85;2019;1;2;10;verano;habil
35,424;18,55;2019;1;3;10;verano;habil
33,744;16,75;2019;1;4;10;verano;habil
31,776;14,15;2019;1;5;10;verano;habil
31,056;12,1;2019;1;6;10;verano;habil
19,104;10,55;2019;1;7;10;verano;habil
17,76;10,2;2019;1;8;10;verano;habil
18,624;10,1;2019;1;9;10;verano;habil
19,776;10,5;2019;1;10;10;verano;habil
19,2;11,05;2019;1;11;10;verano;habil
22,32;12,05;2019;1;12;10;verano;habil
21,264;12,95;2019;1;13;10;verano;habil
20,544;13,7;2019;1;14;10;verano;habil
19,968;14,55;2019;1;15;10;verano;habil
18,672;14,9;2019;1;16;10;verano;habil
20,016;15,2;2019;1;17;10;verano;habil
22,272;15,45;2019;1;18;10;verano;habil
25,056;15,6;2019;1;19;10;verano;habil
32,64;15,65;2019;1;20;10;verano;habil
35,088;15,65;2019;1;21;10;verano;habil
41,328;15,7;2019;1;22;10;verano;habil
37,152;15,75;2019;1;23;10;verano;habil
36,864;15,65;2019;1;0;11;verano;habil
28,752;15,45;2019;1;1;11;verano;habil
26,352;15,4;2019;1;2;11;verano;habil
25,104;15,4;2019;1;3;11;verano;habil
24,336;15,35;2019;1;4;11;verano;habil
23,904;15,25;2019;1;5;11;verano;habil
24,96;15,4;2019;1;6;11;verano;habil
18,72;15,5;2019;1;7;11;verano;habil
19,296;15,55;2019;1;8;11;verano;habil
19,92;16,25;2019;1;9;11;verano;habil
22,416;17,85;2019;1;10;11;verano;habil
23,856;19,85;2019;1;11;11;verano;habil
25,152;21,3;2019;1;12;11;verano;habil
28,368;22,65;2019;1;13;11;verano;habil
29,952;23,6;2019;1;14;11;verano;habil
29,616;24,75;2019;1;15;11;verano;habil
